Trajectory_ID,Time_Index,ID_LV,Pos_LV,Speed_LV,Acc_LV,ID_FAV,Pos_FAV,Speed_FAV,Acc_FAV,Space_Gap,Space_Headway,Time_Headway,Speed_Diff
5,6,1,233.9214482,35.35411023,0.103521875,3,173.3474059,32.16126099,1.449298084,56.07404239,60.57404239,1.883447369,3.192849237
5,6.1,1,237.0471223,35.36446242,0.134857312,3,176.5707784,32.3061908,1.637679504,55.97634389,60.47634389,1.871973835,3.058271616
5,6.2,1,240.1793508,35.37794815,0.143028485,3,179.8095859,32.46995875,1.778783155,55.86976484,60.36976484,1.859249816,2.907989397
5,6.3,1,243.3887826,35.392251,0.124705166,3,183.0654757,32.64783707,1.8513633,55.82330691,60.32330691,1.847696887,2.74441393
5,6.4,1,246.7238059,35.40472151,0.079385026,3,186.3395162,32.8329734,1.860853057,55.88428968,60.38428968,1.839135583,2.571748116
5,6.5,1,250.2071834,35.41266002,0.006330538,3,189.6321178,33.0190587,1.828670762,56.0750656,60.5750656,1.83454853,2.393601313
5,6.6,1,253.7597872,35.41329307,-0.088071761,3,192.9431671,33.20192578,1.759987534,56.31662017,60.81662017,1.831719659,2.211367291
5,6.7,1,257.2756289,35.40448589,-0.17588309,3,196.2721596,33.37792453,1.65183579,56.50346936,61.00346936,1.827659155,2.026561361
5,6.8,1,260.6749725,35.38689758,-0.2498117,3,199.6182112,33.54310811,1.492933056,56.55676126,61.05676126,1.820247577,1.843789473
5,6.9,1,263.9934218,35.36191641,-0.309689835,3,202.9799867,33.69240142,1.280510944,56.51343507,61.01343507,1.810896003,1.669514998
5,7,1,267.2954281,35.33094743,-0.355431418,3,206.3556294,33.82045251,1.040299739,56.43979873,60.93979873,1.801862311,1.51049492
5,7.1,1,270.630871,35.29540429,-0.386927719,3,209.7428761,33.92448248,0.875166897,56.38799488,60.88799488,1.794809837,1.370921804
5,7.2,1,273.9925658,35.25671152,-0.405452845,3,213.1397002,34.01199917,0.810639767,56.35286561,60.85286561,1.789158741,1.244712343
5,7.3,1,277.3601856,35.21616623,-0.416848178,3,216.5449533,34.09306315,0.821955783,56.31523231,60.81523231,1.78380077,1.123103081
5,7.4,1,280.7182528,35.17448141,-0.42281694,3,219.9583694,34.17525873,0.810587837,56.2598834,60.7598834,1.777890956,0.999222685
5,7.5,1,284.0618234,35.13219972,-0.423702569,3,223.3799482,34.25631751,0.752005282,56.1818752,60.6818752,1.771406841,0.875882207
5,7.6,1,287.387813,35.08982946,-0.419814272,3,226.80934,34.33151804,0.671135514,56.07847297,60.57847297,1.764514837,0.758311422
5,7.7,1,290.695749,35.04784804,-0.412990981,3,230.2458475,34.39863159,0.667339699,55.94990146,60.44990146,1.757334483,0.649216444
5,7.8,1,293.9980604,35.00654894,-0.409939504,3,233.6890474,34.46536556,0.765268439,55.80901307,60.30901307,1.749843998,0.541183376
5,7.9,1,297.3095864,34.96555499,-0.412234712,3,237.1394103,34.54189241,0.929197575,55.67017619,60.17017619,1.741947878,0.423662581
5,8,1,300.6411071,34.92433152,-0.419887647,3,240.5982455,34.63481216,1.016946608,55.54286163,60.04286163,1.733598593,0.289519353
5,8.1,1,303.9853608,34.88234275,-0.432862351,3,244.0668114,34.73650682,0.99303271,55.41854937,59.91854937,1.724944586,0.145835927
5,8.2,1,307.3295674,34.83905652,-0.446298877,3,247.5454273,34.8358101,0.891966122,55.28414014,59.78414014,1.716169079,0.003246421
5,8.3,1,310.6622809,34.79442663,-0.44171278,3,251.0334681,34.92500671,0.851738189,55.12881281,59.62881281,1.707338622,-0.130580079
5,8.4,1,313.9814894,34.75025535,-0.415024105,3,254.5302275,35.01018053,0.906873831,54.95126194,59.45126194,1.69811355,-0.259925176
5,8.5,1,317.2883847,34.70875294,-0.366948248,3,258.0357799,35.10086791,1.029918176,54.75260483,59.25260483,1.688066659,-0.392114969
5,8.6,1,320.5868829,34.67205812,-0.301673694,3,261.5510163,35.20385973,1.110757169,54.53586665,59.03586665,1.67697142,-0.531801612
5,8.7,1,323.8876451,34.64189075,-0.234005582,3,265.076956,35.31493544,1.121623486,54.31068903,58.81068903,1.665320587,-0.673044698
5,8.8,1,327.1990268,34.61849019,-0.167353867,3,268.6140577,35.42709779,1.078775014,54.08496914,58.58496914,1.653676784,-0.808607605
5,8.9,1,330.5240856,34.6017548,-0.101662602,3,272.1621614,35.53497529,1.047840663,53.86192424,58.36192424,1.642379761,-0.933220493
5,9,1,333.8505412,34.59158854,-0.037027573,3,275.7208981,35.63975936,1.045065996,53.62964308,58.12964308,1.631033546,-1.04817082
5,9.1,1,337.162514,34.58788578,0.022135132,3,279.2900994,35.74426596,1.063550715,53.37241467,57.87241467,1.619068489,-1.156380176
5,9.2,1,340.4516812,34.5900993,0.058499426,3,282.8698437,35.85062103,1.076655745,53.0818375,57.5818375,1.606160112,-1.260521735
5,9.3,1,343.7391235,34.59594924,0.067820886,3,286.4602891,35.95828661,1.077751283,52.77883437,57.27883437,1.592924463,-1.362337367
5,9.4,1,347.0532028,34.60273133,0.050158454,3,290.0615065,36.06606173,1.061848041,52.4916963,56.9916963,1.580202926,-1.463330406
5,9.5,1,350.4125468,34.60774717,0.005527123,3,293.6734219,36.17224654,1.009061186,52.23912485,56.73912485,1.568581724,-1.564499365
5,9.6,1,353.7969683,34.60829989,-0.059107246,3,297.2956919,36.27315266,0.914515759,52.00127644,56.50127644,1.557661033,-1.664852771
5,9.7,1,357.1760149,34.60238916,-0.115896948,3,300.9275797,36.36460423,0.796603009,51.74843515,56.24843515,1.546790797,-1.762215072
5,9.8,1,360.5266271,34.59079947,-0.158070795,3,304.5680232,36.44426453,0.728440618,51.45860399,55.95860399,1.53545708,-1.853465067
5,9.9,1,363.85942,34.57499239,-0.18585522,3,308.2160918,36.5171086,0.728148398,51.14332819,55.64332819,1.523760515,-1.942116209
5,10,1,367.1940604,34.55640687,-0.199425702,3,311.8714434,36.58992344,0.772463349,50.82261694,55.32261694,1.511963179,-2.033516571
5,10.1,1,370.5463251,34.53646429,-0.203641366,3,315.5342981,36.66716977,0.76886284,50.51202704,55.01202704,1.500307425,-2.130705476
5,10.2,1,373.9139382,34.51610016,-0.217562921,3,319.2048594,36.74405605,0.694250227,50.20907888,54.70907888,1.488923237,-2.227955896
5,10.3,1,377.2890926,34.49434387,-0.245838407,3,322.8827362,36.81348108,0.571980518,49.90635638,54.40635638,1.477892196,-2.319137211
5,10.4,1,380.6647117,34.46976003,-0.288402358,3,326.5669442,36.87067913,0.495534348,49.59776742,54.09776742,1.467230024,-2.400919104
5,10.5,1,384.0394371,34.44091979,-0.345249627,3,330.2564898,36.92023256,0.488129881,49.28294727,53.78294727,1.456733708,-2.479312774
5,10.6,1,387.4138967,34.40639483,-0.40952852,3,333.9509537,36.96904555,0.535151522,48.962943,53.462943,1.446154268,-2.562650725
5,10.7,1,390.7881467,34.36544197,-0.45374498,3,337.650534,37.0225607,0.57854018,48.63761262,53.13761262,1.435276534,-2.657118729
5,10.8,1,394.1578206,34.32006748,-0.471017486,3,341.3556828,37.08041472,0.603875043,48.30213782,52.80213782,1.423989948,-2.760347245
5,10.9,1,397.5172864,34.27296573,-0.461333593,3,345.0667437,37.14080223,0.617917155,47.95054274,52.45054274,1.412208127,-2.867836498
5,11,1,400.8635371,34.22683237,-0.424672151,3,348.7839135,37.20259394,0.647303642,47.57962367,52.07962367,1.39989227,-2.975761573
5,11.1,1,404.2046408,34.18436515,-0.371177941,3,352.5074094,37.26732431,0.698466904,47.19723144,51.69723144,1.387199978,-3.082959152
5,11.2,1,407.5512249,34.14724736,-0.341533807,3,356.2376341,37.337171,0.748901833,46.81359077,51.31359077,1.374329908,-3.189923637
5,11.3,1,410.9097651,34.11309398,-0.345927101,3,359.9750958,37.41206118,0.70955953,46.43466939,50.93466939,1.3614505,-3.298967201
5,11.4,1,414.2751734,34.07850127,-0.3843683,3,363.7198497,37.48301713,0.558338486,46.05532369,50.55532369,1.348752783,-3.404515864
5,11.5,1,417.6386554,34.04006444,-0.456846539,3,367.4709431,37.53885098,0.330697874,45.66771232,50.16771232,1.336421095,-3.498786543
5,11.6,1,420.9923006,33.99437979,-0.545602938,3,371.2264817,37.57192077,0.167506557,45.26581893,49.76581893,1.324548171,-3.577540984
5,11.7,1,424.335753,33.93981949,-0.579834386,3,374.9845113,37.58867142,0.10355544,44.85124177,49.35124177,1.312928601,-3.648851934
5,11.8,1,427.6723424,33.88183605,-0.542093391,3,378.7438962,37.59902697,0.121337881,44.4284462,48.9284462,1.301322139,-3.717190916
5,11.9,1,431.0057137,33.82762671,-0.432579825,3,382.5044056,37.61116076,0.152791122,44.00130815,48.50130815,1.289545634,-3.783534043
